"","Pathotroph","Saprotroph","Symbiotroph","Bryophyte Parasite","Dung Saprotroph","Ectomycorrhizal","Fungal Parasite","Leaf Saprotroph","Plant Parasite","Wood Saprotroph","Animal Pathogen","Endophyte","Plant Pathogen","Lichen Parasite","Litter Saprotroph","Soil Saprotroph","Plant Saprotroph","Epiphyte","Lichenized","Arbuscular Mycorrhizal","Endomycorrhizal","Ericoid Mycorrhizal","Orchid Mycorrhizal","Root Associated Biotroph","Clavicipitaceous Endophyte","Animal Endosymbiont"
"RM14Organic.ITS.S601",10.32,28.85,46.9,0.22,3.67,37.38,2.17,0.55,0.15,9.68,0.55,5.18,5.3,0.35,3.92,7.3,3.12,0.5,0.22,0,0.03,2.65,0.8,0.03,0.1,0.03
"RM14Outer.ITS.S167",16.45,43.38,11.65,0,0,0,1.82,0,0,36.73,6.88,3.28,9.93,6.08,0.6,0.6,0,0,7.75,0,0,0,0,0,0.7,0
"RM2Inner.ITS.S611",1.12,96.55,0.32,0,0,0.15,0.15,0,0,1.77,0.48,0.17,0.98,0.12,0,0,0,0,0,0,0,0,0,0,0.05,0
"RM2Mineral.ITS.S613",8.1,28.75,43.17,2.2,1.95,40.02,5.35,2.35,1.88,12.43,0.45,1.85,1.75,0.03,1.32,9.88,7.95,0.2,0.72,0,0,0.7,0.17,0,0.28,0
"RM2Organic.ITS.S615",8.55,25.62,59.08,0.68,0.7,54,4.4,0.82,0.58,9.78,0.42,1.75,1.18,0.03,1.15,11.3,6.18,0.17,1.32,0,0,3.67,0.72,0,0.25,0
"RM2Outer.ITS.S617",8.22,33.98,3.08,0,0,0,0,0,0,2.9,3.48,2.98,5.88,2.05,0,0,1.73,0.92,1.62,0,0,0,0,0,0,0
"RM3Inner.ITS.S170",5.12,36.27,7.38,0,0.28,0,1.55,0,0,2.05,3.35,6.4,3.45,1.73,3.25,3.48,0,0.12,0.98,0,0,0,0,0,1.43,0
"RM3Mineral.ITS.S173",12.55,35.98,54.55,0.62,1,43.6,2.67,0.6,0.58,4.35,1.35,6.2,8.4,0,4.6,22.25,3.17,0.03,0.07,0.03,0,1.82,0.12,0,1.17,0
"RM3Organic.ITS.S655",13.85,16.02,66.92,0.03,0.78,60.77,1.62,0.03,0,5.08,0.6,5.55,10.85,0.1,4.12,5.45,3.55,0.32,0,0,0,3.12,1.32,0,0.1,0
"RM3Outer.ITS.S176",19.68,8.25,16.95,0,0,0.32,10.12,0.5,0,2.83,9.55,13.1,10.9,0,2.98,2.98,0,0.22,3.52,0,0,0,0,0,8,0
"RM301Mineral.ITS.S627",11.25,36,58.1,0.48,2.83,40.43,2.07,1.12,0.48,8.07,1.73,13.28,5.2,0.15,11.35,21.12,3.48,0.22,0.03,0,0,3.75,0.17,0.1,0.32,0
"RM301Organic.ITS.S629",13.32,24.05,67.75,0,1.68,54.05,1.02,0,0,10.22,1.1,7.42,5.22,0.15,6.7,8.55,2.2,0.05,0,0,0,7.5,1,0.1,0.15,0
"RM301AInner.ITS.S619",2.72,2.72,2.9,0,0,0,0,0,0,1.38,2.72,1.38,2.72,1.38,0,0,0,0,1.52,0,0,0,0,0,0,0
"RM301AOuter.ITS.S621",74.33,30.42,16.92,0,0,0.1,0.43,0,0,13.97,17.48,13.62,73.42,13.85,0,12.75,0.1,0.28,2.72,0,0,0,0,0,0.12,0
"RM301BInner.ITS.S623",12.55,9.9,3.6,0,0,0,1.1,0,0,1.93,6.38,3.45,11.45,1.25,0,0,0,0,1.45,0,0,0,0,0,0,1.85
"RM301BOuter.ITS.S625",72.6,26.82,15.53,0,0,0,0.55,0,0,11.55,15.07,12.28,71.6,12,0.05,11.3,0.07,0.1,3,0,0,0,0,0,0.32,0
"RM302Inner.ITS.S631",8.55,88.85,9.38,0,0.12,0.25,0.2,0,0,0.28,0.4,8.35,8.35,0.07,0.03,0.03,0.05,0,0.78,0,0,0,0,0,0.17,0
"RM302Mineral.ITS.S633",14.65,36.12,65.12,0,3.05,45.45,3.2,0.35,0,11.32,4.38,14.97,5.55,0.28,9.07,12.5,5.12,3.25,0,0,0.05,4.55,0.5,0.45,0.2,0
